,problem_link,problem_name,num_occur
591,https://leetcode.com/problems/two-sum/,Two Sum,117
465,https://leetcode.com/problems/lru-cache/,LRU Cache,117
438,https://leetcode.com/problems/number-of-islands/,Number of Islands,103
539,https://leetcode.com/problems/merge-intervals/,Merge Intervals,87
109,https://leetcode.com/problems/search-suggestions-system/,Search Suggestions System,68
487,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Best Time to Buy and Sell Stock,56
545,https://leetcode.com/problems/group-anagrams/,Group Anagrams,51
120,https://leetcode.com/problems/analyze-user-website-visit-pattern/,Analyze User Website Visit Pattern,50
163,https://leetcode.com/problems/k-closest-points-to-origin/,K Closest Points to Origin,49
589,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Longest Substring Without Repeating Characters,49
399,https://leetcode.com/problems/meeting-rooms-ii/,Meeting Rooms II,48
569,https://leetcode.com/problems/merge-k-sorted-lists/,Merge k Sorted Lists,47
552,https://leetcode.com/problems/trapping-rain-water/,Trapping Rain Water,45
577,https://leetcode.com/problems/3sum/,3Sum,44
572,https://leetcode.com/problems/valid-parentheses/,Valid Parentheses,43
481,https://leetcode.com/problems/word-ladder/,Word Ladder,41
588,https://leetcode.com/problems/median-of-two-sorted-arrays/,Median of Two Sorted Arrays,40
520,https://leetcode.com/problems/word-search/,Word Search,36
590,https://leetcode.com/problems/add-two-numbers/,Add Two Numbers,36
542,https://leetcode.com/problems/maximum-subarray/,Maximum Subarray,35
156,https://leetcode.com/problems/rotting-oranges/,Rotting Oranges,35
587,https://leetcode.com/problems/longest-palindromic-substring/,Longest Palindromic Substring,35
470,https://leetcode.com/problems/word-break/,Word Break,34
429,https://leetcode.com/problems/course-schedule-ii/,Course Schedule II,34
406,https://leetcode.com/problems/product-of-array-except-self/,Product of Array Except Self,32
405,https://leetcode.com/problems/sliding-window-maximum/,Sliding Window Maximum,32
427,https://leetcode.com/problems/word-search-ii/,Word Search II,31
560,https://leetcode.com/problems/search-in-rotated-sorted-array/,Search in Rotated Sorted Array,31
338,https://leetcode.com/problems/first-unique-character-in-a-string/,First Unique Character in a String,30
297,https://leetcode.com/problems/concatenated-words/,Concatenated Words,30
35,https://leetcode.com/problems/maximum-units-on-a-truck/,Maximum Units on a Truck,29
354,https://leetcode.com/problems/top-k-frequent-elements/,Top K Frequent Elements,29
51,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,Maximum Length of Subarray With Positive Product,29
575,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Letter Combinations of a Phone Number,28
500,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Binary Tree Zigzag Level Order Traversal,28
432,https://leetcode.com/problems/course-schedule/,Course Schedule,28
580,https://leetcode.com/problems/integer-to-roman/,Integer to Roman,27
579,https://leetcode.com/problems/roman-to-integer,Roman to Integer,27
60,https://leetcode.com/problems/the-kth-factor-of-n/,The kth Factor of n,25
505,https://leetcode.com/problems/validate-binary-search-tree/,Validate Binary Search Tree,25
408,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Lowest Common Ancestor of a Binary Tree,25
6,https://leetcode.com/problems/maximum-twin-sum-of-a-linked-list/,Maximum Twin Sum of a Linked List,23
581,https://leetcode.com/problems/container-with-most-water/,Container With Most Water,21
440,https://leetcode.com/problems/house-robber/,House Robber,21
380,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Serialize and Deserialize Binary Tree,21
121,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,Minimum Swaps to Group All 1's Together,21
540,https://leetcode.com/problems/jump-game/,Jump Game,20
571,https://leetcode.com/problems/merge-two-sorted-lists/,Merge Two Sorted Lists,20
553,https://leetcode.com/problems/first-missing-positive/,First Missing Positive,20
424,https://leetcode.com/problems/contains-duplicate/,Contains Duplicate,19
558,https://leetcode.com/problems/valid-sudoku/,Valid Sudoku,19
271,https://leetcode.com/problems/subarray-sum-equals-k/,Subarray Sum Equals K,19
